Observations: differences from average, differences normalized by SD;  Lat, Lon, surface parameters
variable count, bins per route, route count  (xdim, ydim, zdim with line count = ydim*zdim)
      14      20       8
        Tdev         Tsd       RHdev        RHsd       DPdev        DPsd         lat         lon        ndvi      albedo        area      height   elevation   water500m
      0.0487      0.0154     -0.0533     -0.2398     -0.3900     -0.2992     40.7674    -73.9847      0.2298      0.1073      0.1971     44.9072     24.4778      0.0000
     -0.1007     -0.2007     -0.2907     -0.4256     -0.4347     -0.2875     40.7667    -73.9831      0.4605      0.1039      0.0209     49.8444     23.7312      0.0000
     -0.2373     -0.1919     -0.1733     -0.1973      0.0653     -0.0726     40.7660    -73.9815      0.1352      0.1013      0.5225     53.0793     24.1631      0.0000
     -0.2787     -0.2140     -0.1627     -0.1723      0.1247     -0.0539     40.7653    -73.9798      0.2293      0.1065      0.3240     59.0962     23.9764      0.0000
     -0.0887     -0.1057      0.1307      0.0552      0.3600      0.0400     40.7646    -73.9782      0.3040      0.0982      0.1868     63.2554     20.2218      0.0000
     -0.0560     -0.0929     -0.0347     -0.1111     -0.0847     -0.0954     40.7640    -73.9766      0.3040      0.0982      0.1868     63.2554     17.2072      0.0000
     -0.1853     -0.1536     -0.1427     -0.1389     -0.1300     -0.0310     40.7633    -73.9749      0.1191      0.0997      0.5931     64.9377     16.2352      0.0000
     -0.1160     -0.0084     -0.0147     -0.0300     -0.2007     -0.0664     40.7626    -73.9733      0.1239      0.0991      0.4967     48.6970     15.3351      0.0000
     -0.1007     -0.0143      0.0073     -0.0026     -0.1713     -0.0636     40.7619    -73.9716      0.1239      0.0991      0.4967     48.6970     14.8626      0.0000
      0.1613      0.1591      0.1627      0.1092     -0.3013     -0.1337     40.7612    -73.9700      0.1636      0.1099      0.4420     28.6143     13.9141      0.0000
      0.2447      0.2998      0.0760      0.0781     -0.7573     -0.2657     40.7605    -73.9684      0.1741      0.1339      0.3846     33.4266     12.3508      0.0000
     -0.0347      0.0926     -0.2913     -0.2240     -1.0133     -0.3713     40.7598    -73.9667      0.1741      0.1339      0.3846     33.4266     14.1912      0.0023
     -0.1587     -0.1362     -0.3073     -0.4316     -0.7947     -0.2931     40.7591    -73.9651      0.1733      0.1156      0.3539     37.5661     16.2503      0.0295
     -0.1487     -0.1140     -0.2567     -0.3264     -0.5020     -0.2122     40.7585    -73.9635      0.1515      0.0861      0.1132     51.7934     15.9597      0.1361
     -0.6547     -0.5585     -0.3987     -0.4415      0.4227      0.0441     40.7576    -73.9614      0.1515      0.0861      0.1132     51.7934     14.3105      0.2381
      0.9506      0.9279      0.0556     -0.0627     -2.7062     -0.6435     40.7565    -74.0039      0.0884      0.1703      0.5579     20.3286      4.5831      0.3197
      1.0319      0.9673     -0.2819     -0.2593     -3.2925     -0.8922     40.7558    -74.0024      0.0992      0.1478      0.2864     39.2059      6.6151      0.1678
      1.0012      0.9211     -0.5825     -0.5367     -3.7619     -1.0714     40.7551    -74.0008      0.0963      0.1444      0.3527     33.5725      9.3006      0.0635
      0.4444      0.4966     -0.9419     -0.8276     -3.5250     -0.9620     40.7545    -73.9992      0.0963      0.1444      0.3527     33.5725     10.3406      0.0045
      0.4163      0.4677     -0.4544     -0.3307     -2.4100     -0.6178     40.7538    -73.9976      0.0867      0.1428      0.5105     38.3544     11.8513      0.0000
      0.3162      0.3812     -0.3781     -0.2474     -1.9737     -0.4812     40.7531    -73.9961      0.0925      0.1591      0.5293     50.9397     11.3480      0.0000
      0.0219      0.1096     -0.3875     -0.3215     -1.2312     -0.3117     40.7525    -73.9945      0.0802      0.1522      0.4930     57.6864     11.3066      0.0000
      0.0094      0.1100     -0.1625     -0.0336     -0.6562     -0.1185     40.7518    -73.9929      0.0797      0.1413      0.5937     52.7010     11.0089      0.0000
      0.5069      0.5281      0.3294      0.3797     -0.7013     -0.1253     40.7511    -73.9913      0.0894      0.1510      0.6077     49.9097     11.8812      0.0000
      0.6800      0.7170      0.1269      0.2581     -1.4456     -0.3279     40.7505    -73.9898      0.0718      0.1460      0.5307     53.2727     12.7092      0.0000
      0.4469      0.4975      0.0319      0.0664     -1.1375     -0.2963     40.7498    -73.9882      0.0997      0.1457      0.6167     38.3173     13.5335      0.0000
      0.0100      0.1348     -0.1944     -0.0857     -0.6400     -0.1618     40.7492    -73.9866      0.0997      0.1457      0.6167     38.3173     14.3601      0.0000
      0.0994      0.1406      0.0581      0.1375     -0.2737     -0.0028     40.7485    -73.9850      0.1480      0.1295      0.4477     43.8778     14.8600      0.0000
      0.1144      0.2228      0.1338      0.2952      0.1294      0.0700     40.7478    -73.9835      0.1812      0.1320      0.4527     32.2574     15.8510      0.0000
      0.0131      0.0860     -0.0250      0.0182      0.0281      0.0515     40.7471    -73.9818      0.1812      0.1320      0.4527     32.2574     17.5782      0.0000
