Observations: differences from average, differences normalized by SD;  Lat, Lon, surface parameters
variable count, bins per route, route count  (xdim, ydim, zdim with line count = ydim*zdim)
          16      20.0000      8.00000
       Tdiff        Tdev      RHdiff       RHdev      DPdiff       DPdev         lat         lon        NDVI   greenness      albedo  brightness   Bareafrac     Bheight   elevation   water500m
      0.0131      0.0860     -0.0250      0.0182      0.0281      0.0515     40.7471    -73.9818      0.2564     -0.0604      0.0919      0.2014      0.5992     65.5214     17.5782      0.0000
     -0.0669      0.0244      0.1713      0.2631      0.6044      0.2055     40.7465    -73.9802      0.2980     -0.0551      0.1080      0.2357      0.6217     49.4756     11.6810      0.0000
      0.1281      0.1348      0.3063      0.3945      0.5456      0.2573     40.7458    -73.9787      0.2440     -0.0776      0.1367      0.3023      0.6504     48.6038      8.6956      0.0000
      0.1687      0.1929      0.3787      0.4890      0.7181      0.2963     40.7451    -73.9771      0.2078     -0.0802      0.1273      0.2824      0.6514     24.8252      7.4720      0.0431
     -0.0900     -0.0070      0.0719      0.2120      0.6544      0.2532     40.7445    -73.9755      0.2725     -0.0601      0.1050      0.2309      0.6349     33.7359      4.8489      0.1746
     -0.2069     -0.1991      0.2794      0.3842      1.6988      0.5875     40.7437    -73.9736      0.3142     -0.0641      0.1082      0.2400      0.6841     49.7626      2.5602      0.3107
      0.2444      0.2354     -0.3888     -0.4278     -1.9775     -0.3356     40.7416    -74.0073      0.2111     -0.0785      0.1410      0.3140      0.6835     30.3089      3.3071      0.3628
     -0.0244     -0.0435     -0.5600     -0.6319     -1.7325     -0.3965     40.7409    -74.0056      0.1504     -0.0929      0.1280      0.2846      0.7626     24.1950      4.4972      0.1995
      0.0962      0.1195     -0.3531     -0.3197     -1.4712     -0.3134     40.7402    -74.0040      0.2034     -0.0776      0.1212      0.2690      0.5895     27.6194      5.7443      0.0249
      0.2131      0.1916     -0.2562     -0.2628     -1.4350     -0.3607     40.7395    -74.0023      0.2568     -0.0738      0.1270      0.2796      0.6654     28.1559      7.2537      0.0000
      0.0644      0.0358     -0.2850     -0.2803     -1.0819     -0.2042     40.7388    -74.0006      0.2889     -0.0663      0.1356      0.2984      0.6146     26.6304      8.0052      0.0000
      0.1969      0.2076      0.0113      0.0322     -0.6388     -0.1443     40.7382    -73.9990      0.2321     -0.0670      0.1154      0.2564      0.6371     46.8427      8.6236      0.0000
      0.1556      0.1641     -0.1344     -0.1392     -0.9356     -0.2865     40.7375    -73.9973      0.1849     -0.0856      0.1296      0.2892      0.6664     27.0811      8.2912      0.0000
     -0.0500     -0.0011     -0.2556     -0.2105     -0.8406     -0.2383     40.7368    -73.9957      0.1718     -0.0937      0.1377      0.3077      0.7719     29.2102      9.1944      0.0000
      0.1587      0.1372     -0.0931     -0.0622     -0.8713     -0.1884     40.7361    -73.9940      0.2664     -0.0643      0.1101      0.2419      0.6721     52.6869     10.5965      0.0000
      0.3000      0.2420      0.0350      0.1406     -0.6531     -0.1374     40.7354    -73.9924      0.2755     -0.0701      0.1406      0.3111      0.7785     36.8476     11.5649      0.0000
      0.0438      0.0762     -0.3719     -0.2787     -1.1244     -0.3539     40.7347    -73.9907      0.3544     -0.0462      0.1154      0.2506      0.4422     26.8586     12.2640      0.0000
      0.0900      0.1092     -0.2663     -0.2209     -1.0344     -0.3044     40.7340    -73.9890      0.2125     -0.0828      0.1450      0.3218      0.6877     45.8759     11.7980      0.0000
     -0.1594     -0.1412     -0.3256     -0.3131     -0.7262     -0.1513     40.7333    -73.9874      0.1905     -0.0933      0.1503      0.3371      0.6201     38.3967     10.7141      0.0000
     -0.0462      0.0290     -0.1131      0.0515     -0.4013     -0.0395     40.7326    -73.9857      0.2094     -0.0895      0.1557      0.3497      0.6604     22.7196      9.5038      0.0000
      0.0231      0.0838     -0.0931      0.0118     -0.5169     -0.0911     40.7319    -73.9840      0.2819     -0.0652      0.1107      0.2412      0.7676     14.7345      7.6425      0.0000
     -0.1763     -0.1260     -0.1594     -0.1068     -0.1887      0.0013     40.7312    -73.9824      0.2557     -0.0619      0.1216      0.2643      0.7613     14.3728      5.9482      0.0000
     -0.1788     -0.1107     -0.0513      0.0789      0.1425      0.1065     40.7305    -73.9807      0.6039      0.0074      0.1283      0.2716      0.3249      8.2369      4.7516      0.0181
     -0.1994     -0.1812      0.0881      0.1630      0.4994      0.2188     40.7298    -73.9791      0.4536     -0.0269      0.1234      0.2627      0.7450     11.6158      3.8684      0.0907
      0.2013      0.1995      0.1275      0.2225     -0.2075     -0.0067     40.7291    -73.9774      0.5137     -0.0197      0.1207      0.2595      0.6828     12.2902      2.7162      0.2290
      0.0550      0.1042      0.0813      0.1508      0.0200      0.0502     40.7282    -73.9752      0.2996     -0.0542      0.1374      0.3026      0.1202      5.7428      2.6640      0.3968
     -0.4286     -0.3700      0.0229      0.0061      0.6629      0.3021     40.7289    -74.0093      0.1721     -0.0877      0.1374      0.3078      0.7199     38.4132      2.8243      0.3991
     -0.2614     -0.2724     -0.4493     -0.4313     -0.7521     -0.1384     40.7287    -74.0074      0.2589     -0.0697      0.0993      0.2168      0.7387     35.8661      4.2847      0.2086
     -0.1129     -0.1347     -0.5743     -0.4384     -1.1793     -0.2342     40.7285    -74.0054      0.1841     -0.0788      0.1069      0.2376      0.7287     26.8993      5.4431      0.0204
      0.0579      0.0187     -0.3500     -0.1580     -0.8821     -0.1266     40.7283    -74.0035      0.2685     -0.0651      0.1160      0.2555      0.6685     22.8672      6.3845      0.0000
      0.3643      0.3119     -0.2707     -0.0695     -1.4350     -0.3379     40.7277    -74.0019      0.2681     -0.0672      0.1265      0.2780      0.6431     18.4306      6.8190      0.0000
      0.5129      0.4865     -0.3307     -0.1477     -1.9679     -0.5125     40.7271    -74.0005      0.3243     -0.0586      0.1270      0.2782      0.6584     20.5199      7.0059      0.0000
      0.6214      0.5576     -0.4500     -0.3006     -2.5550     -0.6549     40.7264    -73.9991      0.4944     -0.0163      0.1327      0.2855      0.7939     21.2482      7.5328      0.0000
      0.6350      0.6461     -0.5064     -0.3484     -2.7736     -0.7217     40.7257    -73.9976      0.2224     -0.0802      0.1264      0.2799      0.8734     37.5962     10.4388      0.0000
      0.5957      0.5643     -0.4471     -0.3273     -2.5950     -0.6731     40.7250    -73.9961      0.1865     -0.0874      0.1464      0.3259      0.8397     29.9357     11.9294      0.0000
      0.3393      0.2795     -0.5143     -0.4152     -2.1264     -0.5510     40.7245    -73.9943      0.2850     -0.0726      0.1465      0.3191      0.7145     25.8777     12.8318      0.0000
      0.5050      0.4465     -0.3507     -0.1981     -1.7714     -0.5473     40.7239    -73.9925      0.3325     -0.0539      0.1383      0.3022      0.6936     24.8408     12.8547      0.0000
      0.3043      0.2335     -0.4493     -0.3259     -1.5193     -0.4817     40.7234    -73.9907      0.3888     -0.0417      0.1434      0.3110      0.6558     19.6370     12.2702      0.0000
      0.3700      0.2738     -0.2957     -0.1341     -1.2129     -0.3725     40.7228    -73.9890      0.3944     -0.0325      0.1429      0.3108      0.6510     19.7721     11.0605      0.0000
