Observations: differences from average, differences normalized by SD;  Lat, Lon, surface parameters
variable count, bins per route, route count  (xdim, ydim, zdim with line count = ydim*zdim)
          16      20.0000      8.00000
       Tdiff        Tdev      RHdiff       RHdev      DPdiff       DPdev         lat         lon        NDVI   greenness      albedo  brightness   Bareafrac     Bheight   elevation   water500m
     -0.3658     -0.1425     -0.4275     -0.6098     -0.1017     -0.0820     40.7671    -73.9625      0.2979     -0.0580      0.1117      0.2453      0.5994     69.5433     23.5249      0.0000
      0.1550      0.2885      0.2250     -0.1606      0.3375      0.0122     40.7658    -73.9634      0.2832     -0.0640      0.0884      0.1916      0.4880     88.5682     21.6660      0.0000
      0.2683      0.3646      0.1842     -0.2082     -0.0567     -0.0897     40.7646    -73.9643      0.3370     -0.0496      0.0853      0.1818      0.4506     90.2735     20.5526      0.0000
      0.2692      0.3935      0.2308     -0.1448      0.0325     -0.0618     40.7634    -73.9652      0.2548     -0.0680      0.0912      0.2003      0.5646     55.6040     17.8832      0.0000
     -0.1900     -0.0030     -0.1433     -0.4362      0.1033     -0.0427     40.7621    -73.9661      0.3128     -0.0590      0.0917      0.1981      0.5946     45.7213     16.7594      0.0000
     -0.2908     -0.1043      0.0758     -0.2698      0.8975      0.1393     40.7609    -73.9670      0.1989     -0.0732      0.0956      0.2102      0.8260     29.7244     15.2869      0.0000
      0.1025      0.2083      0.5492      0.0932      1.2433      0.2148     40.7596    -73.9679      0.2968     -0.0614      0.0745      0.1616      0.7380     70.3607     11.8728      0.0000
      0.1725      0.2659      0.4550      0.0265      0.7867      0.0987     40.7584    -73.9688      0.2611     -0.0684      0.0823      0.1804      0.6477     79.9305     11.1211      0.0000
      0.0017      0.0700      0.1075     -0.2393      0.2575      0.0433     40.7571    -73.9697      0.3214     -0.0589      0.0784      0.1687      0.6440     85.0797     11.4583      0.0000
     -0.0583     -0.0128      0.2017     -0.1531      0.5575      0.1189     40.7555    -73.9709      0.2728     -0.0637      0.0884      0.1931      0.6513     82.7042     11.3953      0.0023
     -0.8942     -0.8933     -0.5267     -0.1531      0.5108      0.1132     40.7539    -73.9721      0.3811     -0.0511      0.0760      0.1606      0.5416     92.6990     11.7925      0.0023
     -0.9650     -1.0725     -0.5042     -0.1015      0.7442      0.1773     40.7527    -73.9730      0.3183     -0.0582      0.0806      0.1739      0.6127    102.6025     12.7374      0.0068
     -0.9042     -0.9984     -0.1275      0.2582      1.6317      0.4069     40.7514    -73.9739      0.2776     -0.0648      0.0833      0.1811      0.6532     85.8562     11.4778      0.0136
     -1.0850     -1.1845     -0.3608      0.0175      1.4608      0.3332     40.7502    -73.9748      0.4104     -0.0524      0.0628      0.1316      0.5575    123.6697     10.9008      0.0136
     -0.8942     -0.9682     -0.1883      0.1718      1.4825      0.3274     40.7490    -73.9757      0.2883     -0.0641      0.0778      0.1689      0.6365    109.0777     10.8315      0.0227
     -0.6650     -0.7849     -0.1600      0.2077      1.0475      0.2069     40.7477    -73.9766      0.2390     -0.0770      0.1163      0.2565      0.6421     48.0193     11.6403      0.0204
     -0.8858     -1.1203     -0.5208     -0.2753      0.6408      0.0930     40.7465    -73.9775      0.2518     -0.0669      0.1001      0.2191      0.6583     37.5902      8.8053      0.0295
     -0.9308     -1.1239     -0.4642     -0.2139      0.9550      0.2024     40.7453    -73.9784      0.1974     -0.0884      0.1365      0.3033      0.6414     50.7023      8.1195      0.0091
     -0.3383     -0.4187      0.0658      0.4565      0.9667      0.2274     40.7440    -73.9793      0.2468     -0.0749      0.1191      0.2618      0.6420     40.9494      9.4424      0.0023
     -0.2217     -0.3324     -0.1533      0.2372      0.0592     -0.0018     40.7428    -73.9802      0.2042     -0.0884      0.1405      0.3162      0.6114     34.7882     10.1428      0.0000
     -0.5333     -0.6024     -0.2992      0.0836      0.3208      0.0475     40.7415    -73.9811      0.2359     -0.0716      0.0983      0.2158      0.6700     52.0661      9.7647      0.0000
     -0.5592     -0.7350     -0.0033      0.2939      1.1717      0.2802     40.7403    -73.9820      0.1830     -0.0917      0.1295      0.2889      0.6412     33.4557      9.2330      0.0000
     -0.5217     -0.7327      0.0908      0.3829      1.3783      0.3629     40.7391    -73.9829      0.2278     -0.0752      0.1100      0.2417      0.6711     27.5353      8.0857      0.0000
     -0.6242     -0.8642      0.0067      0.3084      1.4233      0.3856     40.7378    -73.9838      0.2094     -0.0773      0.1158      0.2551      0.7131     30.6336      8.0817      0.0000
     -0.9992     -1.2322     -0.0417      0.2435      2.1775      0.5770     40.7366    -73.9847      0.2573     -0.0680      0.1031      0.2267      0.7581     30.8882      8.5743      0.0000
     -0.9767     -1.2013      0.3433      0.5692      3.1592      0.8093     40.7353    -73.9856      0.3110     -0.0617      0.1193      0.2605      0.6522     36.0649      9.4580      0.0000
     -0.9200     -1.0573      0.4517      0.7075      3.3633      0.8457     40.7341    -73.9865      0.2328     -0.0772      0.1235      0.2716      0.6354     33.5338      9.8919      0.0000
     -1.0433     -1.1866      0.3358      0.5795      3.3617      0.8325     40.7329    -73.9874      0.3455     -0.0557      0.1132      0.2458      0.6018     35.1730     10.6746      0.0000
     -0.6000     -0.7133      0.6792      0.8871      3.1850      0.7930     40.7316    -73.9883      0.1671     -0.1061      0.1690      0.3791      0.6260     25.9364     11.2061      0.0000
     -0.3925     -0.3739      0.7342      1.0005      2.8108      0.6947     40.7299    -73.9896      0.2313     -0.0777      0.1364      0.3029      0.6802     21.1803     12.1776      0.0000
      0.2600      0.2576      0.7027      1.0005      1.6736      0.4271     40.7277    -73.9911      0.2496     -0.0778      0.1501      0.3314      0.8254     23.7302     12.4320      0.0000
      0.4264      0.4213      0.3745      0.7109     -0.0482      0.0612     40.7264    -73.9917      0.2075     -0.0921      0.1567      0.3465      0.7308     27.0876     12.5713      0.0000
