Observations: differences from average, differences normalized by SD;  Lat, Lon, surface parameters
variable count, bins per route, route count  (xdim, ydim, zdim with line count = ydim*zdim)
      14      20       8
        Tdev         Tsd       RHdev        RHsd       DPdev        DPsd         lat         lon        ndvi      albedo        area      height   elevation   water500m
     -0.6000     -0.7133      0.6792      0.8871      3.1850      0.7930     40.7316    -73.9883      0.2214      0.1633      0.5338     19.3035     11.2061      0.0000
     -0.3925     -0.3739      0.7342      1.0005      2.8108      0.6947     40.7299    -73.9896      0.1746      0.1605      0.5225     16.8995     12.1776      0.0000
      0.2600      0.2576      0.7027      1.0005      1.6736      0.4271     40.7277    -73.9911      0.1794      0.1616      0.5320     16.9405     12.4320      0.0000
      0.4264      0.4213      0.3745      0.7109     -0.0482      0.0612     40.7264    -73.9917      0.1794      0.1616      0.5320     16.9405     12.5713      0.0000
      0.7318      0.7958      0.2400      0.5801     -1.0964     -0.2001     40.7251    -73.9922      0.2385      0.1618      0.4119     16.8823     12.8393      0.0000
      0.6745      0.7480      0.2636      0.6156     -0.6864     -0.1497     40.7238    -73.9927      0.2385      0.1618      0.4119     16.8823     12.9646      0.0000
      0.6900      0.6710      0.0555      0.4478     -1.1427     -0.2731     40.7225    -73.9932      0.1978      0.1457      0.2009     17.8686     12.8297      0.0000
      0.6136      0.6249      0.1445      0.5758     -0.5691     -0.1308     40.7211    -73.9937      0.1637      0.1370      0.3862     14.9056     12.2273      0.0000
      0.7409      0.8573      0.3918      0.7912     -0.3982     -0.0950     40.7198    -73.9942      0.1637      0.1370      0.3862     14.9056     11.4055      0.0000
      0.6273      0.7196      0.1673      0.5585     -0.9218     -0.2178     40.7185    -73.9948      0.1539      0.1152      0.4262     15.7196     11.0280      0.0000
      0.8264      0.9358      0.4582      0.7845     -0.6018     -0.1398     40.7171    -73.9955      0.1539      0.1152      0.4262     15.7196     12.1093      0.0000
      0.5264      0.5914      0.3245      0.7153     -0.2209     -0.0336     40.7154    -73.9966      0.1872      0.0981      0.4324     18.0491     11.3958      0.0045
      0.6027      0.6191      0.4673      0.8204      0.0973      0.0237     40.7139    -73.9978      0.1872      0.0981      0.4324     18.0491      9.5310      0.0884
      0.5309      0.5189      0.0800      0.4409     -0.6473     -0.2085     40.7129    -73.9986      0.2541      0.0949      0.3459     23.5098      6.6335      0.1451
      0.6245      0.4641      0.2373      0.5548     -0.4964     -0.0959     40.7118    -73.9996      0.2541      0.0949      0.3459     23.5098      4.9935      0.2109
      0.7255      0.5553      0.5345      0.9197      0.2627      0.1094     40.7106    -74.0006      0.1660      0.0766      0.1338     30.4519      6.4450      0.2721
      0.4391      0.3218      0.6509      1.0347      1.2464      0.3165     40.7095    -74.0017      0.2696      0.0790      0.0889     33.3573      3.1514      0.3696
      0.1245     -0.0029      0.5891      0.9370      1.8864      0.4131     40.7085    -74.0028      0.0082      0.0676      0.0159     12.0000      2.8988      0.4127
     -0.1982     -0.2424      0.6945      1.0150      2.8055      0.6901     40.7075    -74.0039      0.0606      0.0586      0.3846     14.1344      1.7904      0.4581
     -0.2209     -0.3027      0.7527      1.0644      3.0891      0.7634     40.7066    -74.0052      0.0606      0.0586      0.3846     14.1344      1.5255      0.4218
     -0.0427     -0.1332      0.7218      1.0464      2.7636      0.6930     40.7057    -74.0065      0.0244      0.0644      0.2441     68.9141      2.0278      0.4694
     -0.4345     -0.4715      0.5336      0.9285      3.3609      0.8223     40.7046    -74.0081      0.0244      0.0644      0.2441     68.9141      2.7260      0.4649
